frame,teaching_style,slidesarea,studentsarea,pointingslides,lookingstudents,computerarea,whiteboardarea,facingstudents
1,No Pose Detected,0,0,0,0,0,0,0
2,No Pose Detected,0,0,0,0,0,0,0
3,No Pose Detected,0,0,0,0,0,0,0
4,No Pose Detected,0,0,0,0,0,0,0
5,No Pose Detected,0,0,0,0,0,0,0
6,No Pose Detected,0,0,0,0,0,0,0
7,No Pose Detected,0,0,0,0,0,0,0
8,No Pose Detected,0,0,0,0,0,0,0
9,No Pose Detected,0,0,0,0,0,0,0
10,No Pose Detected,0,0,0,0,0,0,0
11,No Pose Detected,0,0,0,0,0,0,0
12,No Pose Detected,0,0,0,0,0,0,0
13,No Pose Detected,0,0,0,0,0,0,0
14,No Pose Detected,0,0,0,0,0,0,0
15,No Pose Detected,0,0,0,0,0,0,0
16,No Pose Detected,0,0,0,0,0,0,0
17,No Pose Detected,0,0,0,0,0,0,0
18,No Pose Detected,0,0,0,0,0,0,0
19,No Pose Detected,0,0,0,0,0,0,0
20,No Pose Detected,0,0,0,0,0,0,0
21,No Pose Detected,0,0,0,0,0,0,0
22,No Pose Detected,0,0,0,0,0,0,0
23,No Pose Detected,0,0,0,0,0,0,0
24,No Pose Detected,0,0,0,0,0,0,0
25,No Pose Detected,0,0,0,0,0,0,0
26,No Pose Detected,0,0,0,0,0,0,0
27,No Pose Detected,0,0,0,0,0,0,0
28,No Pose Detected,0,0,0,0,0,0,0
29,No Pose Detected,0,0,0,0,0,0,0
30,No Pose Detected,0,0,0,0,0,0,0
31,No Pose Detected,0,0,0,0,0,0,0
32,No Pose Detected,0,0,0,0,0,0,0
33,No Pose Detected,0,0,0,0,0,0,0
34,No Pose Detected,0,0,0,0,0,0,0
35,No Pose Detected,0,0,0,0,0,0,0
36,No Pose Detected,0,0,0,0,0,0,0
37,No Pose Detected,0,0,0,0,0,0,0
38,No Pose Detected,0,0,0,0,0,0,0
39,No Pose Detected,0,0,0,0,0,0,0
40,No Pose Detected,0,0,0,0,0,0,0
41,No Pose Detected,0,0,0,0,0,0,0
42,No Pose Detected,0,0,0,0,0,0,0
43,No Pose Detected,0,0,0,0,0,0,0
44,No Pose Detected,0,0,0,0,0,0,0
45,No Pose Detected,0,0,0,0,0,0,0
46,No Pose Detected,0,0,0,0,0,0,0
47,No Pose Detected,0,0,0,0,0,0,0
48,No Pose Detected,0,0,0,0,0,0,0
49,No Pose Detected,0,0,0,0,0,0,0
50,No Pose Detected,0,0,0,0,0,0,0
51,No Pose Detected,0,0,0,0,0,0,0
52,No Pose Detected,0,0,0,0,0,0,0
53,No Pose Detected,0,0,0,0,0,0,0
54,No Pose Detected,0,0,0,0,0,0,0
55,No Pose Detected,0,0,0,0,0,0,0
56,No Pose Detected,0,0,0,0,0,0,0
57,No Pose Detected,0,0,0,0,0,0,0
58,No Pose Detected,0,0,0,0,0,0,0
59,No Pose Detected,0,0,0,0,0,0,0
60,No Pose Detected,0,0,0,0,0,0,0
61,No Pose Detected,0,0,0,0,0,0,0
62,No Pose Detected,0,0,0,0,0,0,0
63,No Pose Detected,0,0,0,0,0,0,0
64,No Pose Detected,0,0,0,0,0,0,0
65,No Pose Detected,0,0,0,0,0,0,0
66,No Pose Detected,0,0,0,0,0,0,0
67,No Pose Detected,0,0,0,0,0,0,0
68,No Pose Detected,0,0,0,0,0,0,0
69,No Pose Detected,0,0,0,0,0,0,0
70,No Pose Detected,0,0,0,0,0,0,0
71,No Pose Detected,0,0,0,0,0,0,0
72,No Pose Detected,0,0,0,0,0,0,0
73,No Pose Detected,0,0,0,0,0,0,0
74,No Pose Detected,0,0,0,0,0,0,0
75,No Pose Detected,0,0,0,0,0,0,0
76,No Pose Detected,0,0,0,0,0,0,0
77,No Pose Detected,0,0,0,0,0,0,0
78,No Pose Detected,0,0,0,0,0,0,0
79,No Pose Detected,0,0,0,0,0,0,0
80,No Pose Detected,0,0,0,0,0,0,0
81,No Pose Detected,0,0,0,0,0,0,0
82,No Pose Detected,0,0,0,0,0,0,0
83,No Pose Detected,0,0,0,0,0,0,0
84,No Pose Detected,0,0,0,0,0,0,0
85,No Pose Detected,0,0,0,0,0,0,0
86,No Pose Detected,0,0,0,0,0,0,0
87,No Pose Detected,0,0,0,0,0,0,0
88,No Pose Detected,0,0,0,0,0,0,0
89,No Pose Detected,0,0,0,0,0,0,0
90,No Pose Detected,0,0,0,0,0,0,0
91,No Pose Detected,0,0,0,0,0,0,0
92,No Pose Detected,0,0,0,0,0,0,0
93,No Pose Detected,0,0,0,0,0,0,0
94,No Pose Detected,0,0,0,0,0,0,0
95,No Pose Detected,0,0,0,0,0,0,0
96,No Pose Detected,0,0,0,0,0,0,0
97,No Pose Detected,0,0,0,0,0,0,0
98,No Pose Detected,0,0,0,0,0,0,0
99,No Pose Detected,0,0,0,0,0,0,0
100,No Pose Detected,0,0,0,0,0,0,0
101,No Pose Detected,0,0,0,0,0,0,0
102,No Pose Detected,0,0,0,0,0,0,0
103,No Pose Detected,0,0,0,0,0,0,0
104,No Pose Detected,0,0,0,0,0,0,0
105,No Pose Detected,0,0,0,0,0,0,0
106,No Pose Detected,0,0,0,0,0,0,0
107,No Pose Detected,0,0,0,0,0,0,0
108,No Pose Detected,0,0,0,0,0,0,0
109,No Pose Detected,0,0,0,0,0,0,0
110,No Pose Detected,0,0,0,0,0,0,0
111,No Pose Detected,0,0,0,0,0,0,0
112,No Pose Detected,0,0,0,0,0,0,0
113,No Pose Detected,0,0,0,0,0,0,0
114,No Pose Detected,0,0,0,0,0,0,0
115,No Pose Detected,0,0,0,0,0,0,0
116,No Pose Detected,0,0,0,0,0,0,0
117,No Pose Detected,0,0,0,0,0,0,0
118,No Pose Detected,0,0,0,0,0,0,0
119,No Pose Detected,0,0,0,0,0,0,0
120,No Pose Detected,0,0,0,0,0,0,0
121,No Pose Detected,0,0,0,0,0,0,0
122,No Pose Detected,0,0,0,0,0,0,0
123,No Pose Detected,0,0,0,0,0,0,0
124,No Pose Detected,0,0,0,0,0,0,0
125,No Pose Detected,0,0,0,0,0,0,0
126,No Pose Detected,0,0,0,0,0,0,0
127,No Pose Detected,0,0,0,0,0,0,0
128,No Pose Detected,0,0,0,0,0,0,0
129,No Pose Detected,0,0,0,0,0,0,0
130,No Pose Detected,0,0,0,0,0,0,0
131,No Pose Detected,0,0,0,0,0,0,0
132,No Pose Detected,0,0,0,0,0,0,0
133,No Pose Detected,0,0,0,0,0,0,0
134,No Pose Detected,0,0,0,0,0,0,0
135,No Pose Detected,0,0,0,0,0,0,0
136,No Pose Detected,0,0,0,0,0,0,0
137,No Pose Detected,0,0,0,0,0,0,0
138,No Pose Detected,0,0,0,0,0,0,0
139,No Pose Detected,0,0,0,0,0,0,0
140,No Pose Detected,0,0,0,0,0,0,0
141,No Pose Detected,0,0,0,0,0,0,0
142,No Pose Detected,0,0,0,0,0,0,0
143,No Pose Detected,0,0,0,0,0,0,0
144,No Pose Detected,0,0,0,0,0,0,0
145,No Pose Detected,0,0,0,0,0,0,0
146,No Pose Detected,0,0,0,0,0,0,0
147,No Pose Detected,0,0,0,0,0,0,0
148,No Pose Detected,0,0,0,0,0,0,0
149,No Pose Detected,0,0,0,0,0,0,0
150,No Pose Detected,0,0,0,0,0,0,0
151,No Pose Detected,0,0,0,0,0,0,0
152,No Pose Detected,0,0,0,0,0,0,0
153,No Pose Detected,0,0,0,0,0,0,0
154,No Pose Detected,0,0,0,0,0,0,0
155,No Pose Detected,0,0,0,0,0,0,0
156,No Pose Detected,0,0,0,0,0,0,0
157,No Pose Detected,0,0,0,0,0,0,0
158,No Pose Detected,0,0,0,0,0,0,0
159,No Pose Detected,0,0,0,0,0,0,0
160,No Pose Detected,0,0,0,0,0,0,0
161,No Pose Detected,0,0,0,0,0,0,0
162,No Pose Detected,0,0,0,0,0,0,0
163,No Pose Detected,0,0,0,0,0,0,0
164,No Pose Detected,0,0,0,0,0,0,0
165,No Pose Detected,0,0,0,0,0,0,0
166,No Pose Detected,0,0,0,0,0,0,0
167,No Pose Detected,0,0,0,0,0,0,0
168,No Pose Detected,0,0,0,0,0,0,0
169,No Pose Detected,0,0,0,0,0,0,0
170,No Pose Detected,0,0,0,0,0,0,0
171,No Pose Detected,0,0,0,0,0,0,0
172,No Pose Detected,0,0,0,0,0,0,0
173,No Pose Detected,0,0,0,0,0,0,0
174,No Pose Detected,0,0,0,0,0,0,0
175,No Pose Detected,0,0,0,0,0,0,0
176,No Pose Detected,0,0,0,0,0,0,0
177,No Pose Detected,0,0,0,0,0,0,0
178,No Pose Detected,0,0,0,0,0,0,0
179,No Pose Detected,0,0,0,0,0,0,0
180,No Pose Detected,0,0,0,0,0,0,0
181,No Pose Detected,0,0,0,0,0,0,0
182,No Pose Detected,0,0,0,0,0,0,0
183,No Pose Detected,0,0,0,0,0,0,0
184,No Pose Detected,0,0,0,0,0,0,0
185,No Pose Detected,0,0,0,0,0,0,0
186,No Pose Detected,0,0,0,0,0,0,0
187,No Pose Detected,0,0,0,0,0,0,0
188,No Pose Detected,0,0,0,0,0,0,0
189,No Pose Detected,0,0,0,0,0,0,0
190,No Pose Detected,0,0,0,0,0,0,0
191,No Pose Detected,0,0,0,0,0,0,0
192,No Pose Detected,0,0,0,0,0,0,0
193,No Pose Detected,0,0,0,0,0,0,0
194,No Pose Detected,0,0,0,0,0,0,0
195,No Pose Detected,0,0,0,0,0,0,0
196,No Pose Detected,0,0,0,0,0,0,0
197,No Pose Detected,0,0,0,0,0,0,0
198,No Pose Detected,0,0,0,0,0,0,0
199,No Pose Detected,0,0,0,0,0,0,0
200,No Pose Detected,0,0,0,0,0,0,0
201,No Pose Detected,0,0,0,0,0,0,0
202,No Pose Detected,0,0,0,0,0,0,0
203,No Pose Detected,0,0,0,0,0,0,0
204,No Pose Detected,0,0,0,0,0,0,0
205,No Pose Detected,0,0,0,0,0,0,0
206,No Pose Detected,0,0,0,0,0,0,0
207,No Pose Detected,0,0,0,0,0,0,0
208,No Pose Detected,0,0,0,0,0,0,0
209,No Pose Detected,0,0,0,0,0,0,0
210,No Pose Detected,0,0,0,0,0,0,0
211,No Pose Detected,0,0,0,0,0,0,0
212,No Pose Detected,0,0,0,0,0,0,0
213,No Pose Detected,0,0,0,0,0,0,0
214,No Pose Detected,0,0,0,0,0,0,0
215,No Pose Detected,0,0,0,0,0,0,0
216,No Pose Detected,0,0,0,0,0,0,0
217,No Pose Detected,0,0,0,0,0,0,0
218,No Pose Detected,0,0,0,0,0,0,0
219,No Pose Detected,0,0,0,0,0,0,0
220,No Pose Detected,0,0,0,0,0,0,0
221,No Pose Detected,0,0,0,0,0,0,0
222,No Pose Detected,0,0,0,0,0,0,0
223,No Pose Detected,0,0,0,0,0,0,0
224,No Pose Detected,0,0,0,0,0,0,0
225,No Pose Detected,0,0,0,0,0,0,0
226,No Pose Detected,0,0,0,0,0,0,0
227,No Pose Detected,0,0,0,0,0,0,0
228,No Pose Detected,0,0,0,0,0,0,0
229,No Pose Detected,0,0,0,0,0,0,0
230,No Pose Detected,0,0,0,0,0,0,0
231,No Pose Detected,0,0,0,0,0,0,0
232,No Pose Detected,0,0,0,0,0,0,0
233,No Pose Detected,0,0,0,0,0,0,0
234,No Pose Detected,0,0,0,0,0,0,0
235,No Pose Detected,0,0,0,0,0,0,0
236,No Pose Detected,0,0,0,0,0,0,0
237,No Pose Detected,0,0,0,0,0,0,0
238,No Pose Detected,0,0,0,0,0,0,0
239,No Pose Detected,0,0,0,0,0,0,0
240,No Pose Detected,0,0,0,0,0,0,0
241,No Pose Detected,0,0,0,0,0,0,0
242,No Pose Detected,0,0,0,0,0,0,0
243,No Pose Detected,0,0,0,0,0,0,0
244,No Pose Detected,0,0,0,0,0,0,0
245,No Pose Detected,0,0,0,0,0,0,0
246,No Pose Detected,0,0,0,0,0,0,0
247,No Pose Detected,0,0,0,0,0,0,0
248,No Pose Detected,0,0,0,0,0,0,0
249,No Pose Detected,0,0,0,0,0,0,0
250,No Pose Detected,0,0,0,0,0,0,0
251,No Pose Detected,0,0,0,0,0,0,0
252,No Pose Detected,0,0,0,0,0,0,0
253,No Pose Detected,0,0,0,0,0,0,0
254,No Pose Detected,0,0,0,0,0,0,0
255,No Pose Detected,0,0,0,0,0,0,0
256,No Pose Detected,0,0,0,0,0,0,0
257,No Pose Detected,0,0,0,0,0,0,0
258,No Pose Detected,0,0,0,0,0,0,0
259,No Pose Detected,0,0,0,0,0,0,0
260,No Pose Detected,0,0,0,0,0,0,0
261,No Pose Detected,0,0,0,0,0,0,0
262,No Pose Detected,0,0,0,0,0,0,0
263,No Pose Detected,0,0,0,0,0,0,0
264,No Pose Detected,0,0,0,0,0,0,0
265,No Pose Detected,0,0,0,0,0,0,0
266,No Pose Detected,0,0,0,0,0,0,0
267,No Pose Detected,0,0,0,0,0,0,0
268,No Pose Detected,0,0,0,0,0,0,0
269,No Pose Detected,0,0,0,0,0,0,0
270,No Pose Detected,0,0,0,0,0,0,0
271,No Pose Detected,0,0,0,0,0,0,0
272,No Pose Detected,0,0,0,0,0,0,0
273,No Pose Detected,0,0,0,0,0,0,0
274,No Pose Detected,0,0,0,0,0,0,0
275,No Pose Detected,0,0,0,0,0,0,0
276,No Pose Detected,0,0,0,0,0,0,0
277,No Pose Detected,0,0,0,0,0,0,0
278,No Pose Detected,0,0,0,0,0,0,0
279,No Pose Detected,0,0,0,0,0,0,0
280,No Pose Detected,0,0,0,0,0,0,0
281,No Pose Detected,0,0,0,0,0,0,0
282,No Pose Detected,0,0,0,0,0,0,0
283,No Pose Detected,0,0,0,0,0,0,0
284,No Pose Detected,0,0,0,0,0,0,0
285,No Pose Detected,0,0,0,0,0,0,0
286,No Pose Detected,0,0,0,0,0,0,0
287,No Pose Detected,0,0,0,0,0,0,0
288,No Pose Detected,0,0,0,0,0,0,0
289,No Pose Detected,0,0,0,0,0,0,0
290,No Pose Detected,0,0,0,0,0,0,0
291,No Pose Detected,0,0,0,0,0,0,0
292,No Pose Detected,0,0,0,0,0,0,0
293,No Pose Detected,0,0,0,0,0,0,0
